cnpj,abreviado,nome,classificacao
45453214002600,PROFARMA RJ,PROFARMA DISTR DE PROD FARMACÊUTICOS S/A,CIF
45453214001395,PROFARMA SP,PROFARMA DISTR DE PROD FARMACÊUTICOS S/A,CIF
33438250026204,PACHECO MG,DROGARIAS PACHECO S/A,CIF
04570097000129,ABANO,ABANO RJ DISTRIBUIDORA LTDA,CIF
61412110030909,DSP S MATEUS,DROGARIA SAO PAULO - SAO MATEUS,CIF
45453214002367,PROFARMA DF,PROFARMA DISTR DE PROD FARMACÊUTICOS S/A,CIF
45453214001808,PROFARMA ES,PROFARMA DISTR DE PROD FARMACÊUTICOS S/A,CIF
54801535000433,IKESAKI,CENTRO METROPOLITANO DE COSMETICOS LTDA,CIF
33438250025666,PACHECO ES,DROGARIAS PACHECO S/A,CIF
04287630000140,MAIORI,MAIORI OPERADORA E LOGÍSTICA IMP E EXP,NAO_CONSIDERAR
45453214002790,PROFARMA PE,PROFARMA DISTR DE PROD FARMACÊUTICOS S/A,CIF
45453214002448,PROFARMA GO,PROFARMA DISTR DE PROD FARMACÊUTICOS S/A,CIF
06626253012400,PAGUE MENOS,EMPREENDIMENTOS PAGUE MENOS S/A,CIF
44463156002128,SERVIMED MG,SERVIMED COMERCIAL LTDA,CIF
61585865046305,DROGASIL GO,RAIA DROGASIL GO,CIF
47960950044927,MAG. LUIZA,MAGAZINE LUIZA S/A,CIF
11101147000194,MULTILOG,MULTILOG ARMAZENS GERAIS E LOGISTICA S/A,NAO_CONSIDERAR
00063960017761,WALMART PB,WALMART BRASIL LTDA,CIF
25773037000183,PHARMASCIENC,PHARMASCIENCE INDUSTRIA FARMACEUTICA EIRELI,NAO_CONSIDERAR
49732175000182,TOK,ESTOK COMERCIO E REPRESENTACOES S.A.,NAO_CONSIDERAR
07684771000275,METRO,DTD Distribuiçao e Currier Ltda,NAO_CONSIDERAR
04984598000151,GALINDO,DISTRIBUIDORA TOTAL COM E REPRESENTACAO,NAO_CONSIDERAR
45453214001042,PROFARMA SP1,PROFARMA DISTR DE PROD FARMACÊUTICOS S/A,CIF
11885540000116,ROKA BRASIL,ROKA BRASIL SOLUCOES LOGISTICAS LTDA,NAO_CONSIDERAR
06963801000139,GUARDEAQUISP,GA RJ BOTAFOGO LOCACAO DE ESPACO LTDA,NAO_CONSIDERAR
11744058000166,MIND ON,MIND ON COMUNICAÇÃO LTDA,NAO_CONSIDERAR
00063960002730,WALMART SP,WALMART BRASIL LTDA,CIF
00063960008266,WALMART MG,WMB SUPERMERCADOS DO BRASIL LTDA.,CIF
02057329000114,DIVAMED,DIVAMED IRMAOS VALOTTO DE MED. LTDA,NAO_CONSIDERAR
